[Instrumentation] 2024-09-12 20:30:19,725 [INFO]: Instrumentation Logger configured
[Instrumentation] 2024-09-12 20:30:19,731 [INFO]: Stream configured
[Instrumentation] 2024-09-12 20:30:19,817 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.989705026821866], 'AIN50': [7.374944220503494], 'AIN51': [6.772503903109282], 'AIN64': [0.118492154145315], 'AIN65': [9.759116782314777], 'AIN66': [10.120201880784407], 'AIN67': [6.643296724391803], 'AIN68': [6.662883142681494], 'AIN80': [10.120201880784407], 'AIN81': [7.562594744117632], 'AIN82': [7.247000681675672]})
[Instrumentation] 2024-09-12 20:30:19,901 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.990968666711524], 'AIN50': [7.368941931027621], 'AIN51': [6.762394783992022], 'AIN64': [1.9229699165762213], 'AIN65': [9.765750891735479], 'AIN66': [10.120201880784407], 'AIN67': [6.831894977923184], 'AIN68': [6.850849576268047], 'AIN80': [10.120201880784407], 'AIN81': [7.5594356443934885], 'AIN82': [7.238471112420484]})
[Instrumentation] 2024-09-12 20:30:19,984 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.077238124536052], 'AIN49': [7.960641309359744], 'AIN50': [7.345248683096543], 'AIN51': [6.737121986198872], 'AIN64': [3.2302053824269024], 'AIN65': [9.735423534383699], 'AIN66': [10.120201880784407], 'AIN67': [6.935513448875099], 'AIN68': [6.91750658044748], 'AIN80': [10.120201880784407], 'AIN81': [7.5341628466003385], 'AIN82': [7.214461954516992]})
[Instrumentation] 2024-09-12 20:30:20,067 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.999814145939126], 'AIN50': [7.3771555903103945], 'AIN51': [6.766501613633409], 'AIN64': [2.509930645322129], 'AIN65': [9.780598660438955], 'AIN66': [10.120201880784407], 'AIN67': [6.938988458571657], 'AIN68': [6.921613410088867], 'AIN80': [10.120201880784407], 'AIN81': [7.562910654090047], 'AIN82': [7.242262032089457]})
[Instrumentation] 2024-09-12 20:30:20,151 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.969486788587346], 'AIN50': [7.347775962875858], 'AIN51': [6.7409129058678445], 'AIN64': [3.0381321191989628], 'AIN65': [9.750587213059589], 'AIN66': [10.120201880784407], 'AIN67': [6.985743134488985], 'AIN68': [6.9772135652337965], 'AIN80': [10.120201880784407], 'AIN81': [7.536058306434825], 'AIN82': [7.218252874185964]})
[Instrumentation] 2024-09-12 20:30:20,234 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.060178986025676], 'AIN49': [8.006132345387414], 'AIN50': [7.382526059841439], 'AIN51': [6.775347092861011], 'AIN64': [2.8605907147020844], 'AIN65': [9.796394159059673], 'AIN66': [10.120201880784407], 'AIN67': [6.9974318034683165], 'AIN68': [6.9611021566406635], 'AIN80': [10.120201880784407], 'AIN81': [7.56891294356592], 'AIN82': [7.247000681675672]})
[Instrumentation] 2024-09-12 20:30:20,317 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.9805436376218495], 'AIN50': [7.357253262048289], 'AIN51': [6.75070611501269], 'AIN64': [2.1940206729077545], 'AIN65': [9.768909991459623], 'AIN66': [10.120201880784407], 'AIN67': [7.013859122033864], 'AIN68': [7.001222723137289], 'AIN80': [10.120201880784407], 'AIN81': [7.540165136076212], 'AIN82': [7.223939253689423]})
[Instrumentation] 2024-09-12 20:30:20,401 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.973909528201148], 'AIN50': [7.351250972572416], 'AIN51': [6.7459674654264745], 'AIN64': [3.6579474850759652], 'AIN65': [9.761012242149263], 'AIN66': [10.120201880784407], 'AIN67': [7.047029669137373], 'AIN68': [7.029654620654583], 'AIN80': [10.120201880784407], 'AIN81': [7.534478756572753], 'AIN82': [7.216673324323892]})
[Instrumentation] 2024-09-12 20:30:20,484 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [8.008343715194314], 'AIN50': [7.375576040448323], 'AIN51': [6.770292533302381], 'AIN64': [3.896459514248818], 'AIN65': [9.796710069032088], 'AIN66': [10.120201880784407], 'AIN67': [7.0388160098545995], 'AIN68': [7.0151227619235215], 'AIN80': [10.120201880784407], 'AIN81': [7.5569083646141735], 'AIN82': [7.240998392199799]})
[Instrumentation] 2024-09-12 20:30:20,568 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.977068627925291], 'AIN50': [7.350935062600001], 'AIN51': [6.743756095619574], 'AIN64': [2.6287127949499336], 'AIN65': [9.77017363134928], 'AIN66': [10.120201880784407], 'AIN67': [7.085570685771927], 'AIN68': [7.064404717620164], 'AIN80': [10.120201880784407], 'AIN81': [7.532899206710681], 'AIN82': [7.21509377446182]})
[Instrumentation] 2024-09-12 20:30:20,651 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.960351434742734], 'AIN49': [8.007080075304657], 'AIN50': [7.375260130475908], 'AIN51': [6.772187993136868], 'AIN64': [3.2125144239716974], 'AIN65': [9.806819188149348], 'AIN66': [10.120201880784407], 'AIN67': [7.055875148364976], 'AIN68': [7.0413432896339145], 'AIN80': [10.120201880784407], 'AIN81': [7.557224274586588], 'AIN82': [7.237839292475655]})
